calibre,diametro(m),area
1,0.007348,42.41
2,0.006544,33.63
3,0.005827,26.67
4,0.005189,21.15
5,0.004621,16.77
6,0.004115,13.30
7,0.003665,10.55
8,0.003264,8.366
9,0.002906,6.634
10,0.002588,5.261
11,0.002305,4.172
12,0.002053,3.309
13,0.001828,2.624
14,0.001628,2.081
15,0.001450,1.650
16,0.001291,1.309
17,0.001150,1.038
18,0.001024,0.823
19,0.000912,0.653
20,0.000812,0.518
21,0.009723,0.410
22,0.000644,0.326
23,0.000573,0.258
24,0.000511,0.205
25,0.000455,0.162
26,0.000405,0.129
27,0.000361,0.102
28,0.000321,0.081
29,0.000286,0.064
30,0.000255,0.051
31,0.000227,0.040
32,0.000202,0.032
33,0.000180,0.025
34,0.000160,0.020
35,0.000143,0.016
36,0.000127,0.013
37,0.000113,0.010
38,0.000101,0.008
39,0.000090,0.006
40,0.000080,0.005